CAGDP9 Real GDP by county and metropolitan area 1
CAGDP9 Real GDP by county and metropolitan area 1
County
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
05023,"Cleburne, AR",625173,608603,631687,605776,631337,622875
05025,"Cleveland, AR",132301,148140,118006,115656,126726,151474
05027,"Columbia, AR",866831,911057,887388,871509,951637,981839
05029,"Conway, AR",696477,688985,672040,675109,738316,746263
05031,"Craighead, AR",4517827,4669304,4834967,4877701,5322808,5245632
05033,"Crawford, AR",1695496,1702649,1693406,1686363,1732582,1749952
05035,"Crittenden, AR",1752818,1767222,1787273,1743160,1740640,1671569
05037,"Cross, AR",458347,429428,433142,447939,452087,419117
05039,"Dallas, AR",230865,227705,219458,243257,252005,238227
05041,"Desha, AR",523616,515013,530740,549845,572936,516319
05043,"Drew, AR",611774,610468,600141,585362,608068,600632
05045,"Faulkner, AR",3773660,3890844,3907751,3919933,4040159,4146551
05047,"Franklin, AR",410297,423942,416234,429788,419206,450117
05049,"Fulton, AR",173320,181583,183786,184599,195826,200824
05051,"Garland, AR",3297461,3379134,3432909,3396356,3488827,3498943
05053,"Grant, AR",407151,405162,421132,406252,421434,405324
05055,"Greene, AR",1391745,1396515,1482196,1449278,1573146,1587303
05057,"Hempstead, AR",997465,967522,920990,938395,953880,1008658
05059,"Hot Spring, AR",1040555,1028591,975701,985536,1034840,1150517
05061,"Howard, AR",636251,654730,568082,572350,621240,640845
05063,"Independence, AR",1814024,1943875,1781914,1655103,1794652,1850946
05065,"Izard, AR",278836,285980,273631,256726,276061,286550
05067,"Jackson, AR",650775,681620,661606,669126,691488,733508
05069,"Jefferson, AR",3135246,3042749,3051660,2867547,2997957,2909795
05071,"Johnson, AR",673818,685844,658126,643059,700485,737464
05073,"Lafayette, AR",143086,138453,121385,114834,134973,140066
05075,"Lawrence, AR",444603,439692,431091,439496,426364,444888
05077,"Lee, AR",175991,170705,182262,161349,201107,158901
05079,"Lincoln, AR",242689,246236,225148,224917,265123,246785
05081,"Little River, AR",491186,473596,489264,511076,493257,496016
05083,"Logan, AR",501239,508848,434538,420535,453272,489303
05085,"Lonoke, AR",1331980,1341270,1318481,1352526,1444352,1409825
05087,"Madison, AR",381126,392767,343452,346553,426740,482194
05089,"Marion, AR",501549,489648,570355,555341,599439,666082
05091,"Miller, AR",1320899,1326588,1363035,1338315,1341394,1299941
05093,"Mississippi, AR",2246202,2480746,2588229,2655290,2958740,2992677
05095,"Monroe, AR",183759,181145,182240,199441,199096,171858
05097,"Montgomery, AR",140656,142879,138306,132621,140944,140980
05099,"Nevada, AR",256197,258917,238652,232439,233151,230798
05101,"Newton, AR",103734,102314,104380,96725,102781,104120
05103,"Ouachita, AR",610504,630596,622005,616962,629377,656225
05105,"Perry, AR",155867,158150,148466,145188,163469,166505
05107,"Phillips, AR",506356,505053,530855,531038,576579,499944
05109,"Pike, AR",251385,255944,248934,252022,259966,271691
05111,"Poinsett, AR",588161,565132,573639,580524,614067,555034
05113,"Polk, AR",522053,547061,508786,506991,564792,590519
05115,"Pope, AR",2865775,2838129,2837045,2908339,2878382,2908637
05117,"Prairie, AR",185790,188576,166603,194810,198889,180502
05119,"Pulaski, AR",28340196,28656480,29063376,29111085,30167606,30579205
05121,"Randolph, AR",461996,484364,497913,488438,541105,567773
05123,"St. Francis, AR",723264,713095,718387,717299,738340,695578
05125,"Saline, AR",2506573,2620227,2569194,2729538,2906643,3070928
05127,"Scott, AR",278126,296335,261445,261307,330248,353079
05129,"Searcy, AR",174007,170807,178065,168886,183099,182422
05131,"Sebastian, AR",6431767,6646489,6731684,6664587,6918171,7068271
05133,"Sevier, AR",492295,511052,465399,420846,488725,539790
05135,"Sharp, AR",363481,368331,328925,303954,360049,397995
05137,"Stone, AR",234029,245842,235575,224585,250346,255235
05139,"Union, AR",2374137,2380315,2427703,2469781,2537866,2579072
05141,"Van Buren, AR",383472,357763,348790,345204,376283,370396
05143,"Washington, AR",11213825,11483775,11659987,11975078,13015375,13190992
05145,"White, AR",2132780,2188741,2196951,2160299,2346307,2360524
05147,"Woodruff, AR",227849,225653,212888,232288,248182,240728
05149,"Yell, AR",584454,613103,577300,538434,616929,669036
06001,"Alameda, CA",130430017,135481671,139402982,136223264,145604956,148710279
06003,"Alpine, CA",114872,115488,133334,106827,106291,102508
06005,"Amador, CA",1608472,1630629,1679363,1573820,1575602,1603830
06007,"Butte, CA",9181452,9272932,9447628,8878582,9070391,9106972
06009,"Calaveras, CA",1430443,1355160,1473978,1324807,1344011,1362966
06011,"Colusa, CA",1291669,1483162,1324159,1492977,1345914,1366634
06013,"Contra Costa, CA",71697154,75806177,78510880,71114009,77220621,76340778
06015,"Del Norte, CA",767790,786770,776240,780330,806076,793917
06017,"El Dorado, CA",7932017,8234171,8331055,7757064,8122482,8382976
06019,"Fresno, CA",42568888,43779278,44985158,44298577,45813064,45388356
06021,"Glenn, CA",1000079,1118281,1028927,1067565,1075795,967170
06023,"Humboldt, CA",5436863,5470126,5636655,5364541,5527476,5629986
06025,"Imperial, CA",8039122,8000968,8285950,8639503,8201308,8517940
06027,"Inyo, CA",1226727,1169171,1222163,1133755,1109885,1120740
06029,"Kern, CA",43812095,43894460,45414089,45439983,45334031,43822046
06031,"Kings, CA",6443298,6336899,6453745,6550767,6591539,6607669
06033,"Lake, CA",1943085,1944720,1928586,1873782,1908755,1867799
